n, training_error, validation_error
1 , 0.327775678739 , 0.339779995495
2 , 0.307880390781 , 0.32700294204
3 , 0.277692017056 , 0.331669931807
4 , 0.290111728828 , 0.320737626026
5 , 0.271409294543 , 0.300379188652
6 , 0.277675824472 , 0.289408998136
7 , 0.249371187996 , 0.281070943432
8 , 0.245263669239 , 0.2844658935
9 , 0.242089922815 , 0.290712779101
10 , 0.228542127706 , 0.280267172707
11 , 0.215960490096 , 0.276364021106
12 , 0.225352188698 , 0.274271828092
13 , 0.230620175959 , 0.272713434405
14 , 0.236919091056 , 0.276623753387
15 , 0.223338910779 , 0.274273875916
16 , 0.227495007287 , 0.278188290545
17 , 0.220197549522 , 0.280793804651
18 , 0.229605440708 , 0.277925486529
19 , 0.215992875263 , 0.268268292183
20 , 0.225368381281 , 0.279236434876
21 , 0.207615911912 , 0.268780589364
22 , 0.218103308685 , 0.265907151682
23 , 0.203411237653 , 0.261476344225
24 , 0.214978140012 , 0.25912441893
25 , 0.199287526313 , 0.256780684929
26 , 0.205505478491 , 0.259393366417
27 , 0.200318454148 , 0.254434903104
28 , 0.206601176661 , 0.254955391578
29 , 0.203443622821 , 0.253912366806
30 , 0.200302261564 , 0.257044512857
31 , 0.197209478059 , 0.260175634996
32 , 0.195131429805 , 0.257310388609
33 , 0.193020996384 , 0.260446630306
34 , 0.202445080153 , 0.257568073066
35 , 0.191973875965 , 0.251833484645
36 , 0.19094294813 , 0.253653658437
37 , 0.179359853187 , 0.253383687038
38 , 0.190894370378 , 0.24712758623
39 , 0.175219949263 , 0.240342805655
40 , 0.171031467588 , 0.241657849649
41 , 0.176267069682 , 0.243478023441
42 , 0.17836131052 , 0.238258803935
43 , 0.173174286177 , 0.243482119088
44 , 0.181486479193 , 0.239825388916
45 , 0.173190478761 , 0.240864318041
46 , 0.181535056944 , 0.23799702383
47 , 0.179440816106 , 0.234343365393
48 , 0.17629945485 , 0.233033440958
49 , 0.169018189669 , 0.234863853867
50 , 0.169018189669 , 0.231988368362
51 , 0.173190478761 , 0.228071905909
52 , 0.165812058077 , 0.229644634361
53 , 0.16797106925 , 0.226515560046
54 , 0.163782587575 , 0.227810125805
55 , 0.159626491067 , 0.224423367031
56 , 0.16371781724 , 0.225727147996
57 , 0.168985804502 , 0.225991999836
58 , 0.161639768986 , 0.225731243643
59 , 0.157467479894 , 0.221559144556
60 , 0.153311383386 , 0.221816829014
61 , 0.153295190803 , 0.213464439545
62 , 0.153262805635 , 0.216597609507
63 , 0.151217142549 , 0.213729291385
64 , 0.155405624224 , 0.21269036226
65 , 0.147061046041 , 0.209554120562
66 , 0.142921142117 , 0.210079728595
67 , 0.147093431209 , 0.211643241841
68 , 0.1512657203 , 0.213203683352
69 , 0.142937334701 , 0.210587930128
70 , 0.147093431209 , 0.208245220039
71 , 0.141906406866 , 0.204326709762
72 , 0.150234792465 , 0.208766732425
73 , 0.147044853457 , 0.202240660218
74 , 0.149139094295 , 0.200937903165
75 , 0.15538943164 , 0.203812364758
76 , 0.149106709127 , 0.199904093599
77 , 0.145997733038 , 0.204863580824
78 , 0.135591299185 , 0.195725851041
79 , 0.132449937928 , 0.199377461655
80 , 0.136638419604 , 0.195460999201
81 , 0.13140281751 , 0.194675658887
82 , 0.138667890106 , 0.195200243008
83 , 0.134511793599 , 0.193120336935
84 , 0.134527986182 , 0.187371413749
85 , 0.119933070654 , 0.186594264729
86 , 0.126199600583 , 0.184507191274
87 , 0.131419010093 , 0.188420581991
88 , 0.130323311923 , 0.183988750623
89 , 0.133497058347 , 0.188941070466
90 , 0.13140281751 , 0.185804828768
91 , 0.122011118908 , 0.184495928244
92 , 0.12719814325 , 0.175890973877
93 , 0.126231985751 , 0.175889949965
94 , 0.119949263237 , 0.17588687823
95 , 0.115744588978 , 0.178494440159
96 , 0.116840287148 , 0.175627145948
97 , 0.11579316673 , 0.17615173007
98 , 0.1178550224 , 0.173802876509
99 , 0.118918335402 , 0.172499095545
100 , 0.111620877638 , 0.171455046861
101 , 0.107448588546 , 0.172497047721
102 , 0.109559021968 , 0.17040690253
103 , 0.109559021968 , 0.165701004116
104 , 0.098089275112 , 0.156304565964
105 , 0.0991363955308 , 0.158138050609
106 , 0.101198251201 , 0.159436712015
107 , 0.0907594321801 , 0.160484856345
108 , 0.105354347709 , 0.164920783361
109 , 0.110541372052 , 0.165970975515
110 , 0.107416203379 , 0.165190754759
111 , 0.105370540293 , 0.160235363181
112 , 0.101214443785 , 0.163102657392
113 , 0.102212986452 , 0.158137026697
114 , 0.1095266368 , 0.16074663645
115 , 0.103260106871 , 0.153183682942
116 , 0.102212986452 , 0.156049953241
117 , 0.0960112268581 , 0.150824590265
118 , 0.0959788416905 , 0.15056895363
119 , 0.0939007934366 , 0.151873758507
120 , 0.0970259621094 , 0.150049489068
121 , 0.0990878177795 , 0.147181170945
122 , 0.0991202029471 , 0.155791244872
123 , 0.0949964916068 , 0.146914271282
124 , 0.0970097695256 , 0.152923950661
125 , 0.0928536730178 , 0.146132002703
126 , 0.0896961191774 , 0.145868174775
127 , 0.0855238300858 , 0.143524440774
128 , 0.0865547579209 , 0.144050048806
129 , 0.0844443244994 , 0.142483463825
130 , 0.0949155286879 , 0.144050048806
131 , 0.0939169860204 , 0.142211444603
132 , 0.0876342635073 , 0.142471176884
133 , 0.0834457818319 , 0.137248885643
134 , 0.0792896853241 , 0.135694587602
135 , 0.0803206131592 , 0.134643371537
136 , 0.0803206131592 , 0.135159764364
137 , 0.0824148539969 , 0.131776077326
138 , 0.0845252874184 , 0.129951807887
139 , 0.0824310465807 , 0.12629814945
140 , 0.0834457818319 , 0.13282626948
141 , 0.0824148539969 , 0.132303733182
142 , 0.0771630593188 , 0.133090097408
143 , 0.0782263723215 , 0.126300197274
144 , 0.0845090948346 , 0.128910830939
145 , 0.0813515409942 , 0.127343222046
146 , 0.0782263723215 , 0.124996416309
147 , 0.0761159389 , 0.125781756623
148 , 0.0781939871539 , 0.124744875322
149 , 0.0750688184811 , 0.121867341993
150 , 0.0750688184811 , 0.1229134385
151 , 0.080336805743 , 0.120551274088
152 , 0.0709289145571 , 0.121333542666
153 , 0.0688346737194 , 0.117939616511
154 , 0.0657095050467 , 0.118199348792
155 , 0.0677875533006 , 0.115067202741
156 , 0.0584282398661 , 0.112195812884
157 , 0.0594105899498 , 0.112722444828
158 , 0.0625681437901 , 0.11742117586
159 , 0.0667566254655 , 0.120296661365
160 , 0.0615048307875 , 0.117687051612
161 , 0.0646947697954 , 0.116381222824
162 , 0.0615048307875 , 0.115074370124
163 , 0.0594429751174 , 0.113778780453
164 , 0.0635990716252 , 0.112733707857
165 , 0.063615264209 , 0.114823853048
166 , 0.0625519512063 , 0.112991392315
167 , 0.0594105899498 , 0.11011590681
168 , 0.0625843363739 , 0.110905342772
169 , 0.0604739029524 , 0.110118978546
170 , 0.0636314567928 , 0.111165075053
171 , 0.0646623846278 , 0.112212195472
172 , 0.0625195660388 , 0.112993440139
173 , 0.0573163491121 , 0.110379734739
174 , 0.0594429751174 , 0.111675324409
175 , 0.0583958546985 , 0.111148692465
176 , 0.0563178064446 , 0.105669740677
177 , 0.0584120472823 , 0.100969985733
178 , 0.0563178064446 , 0.0996651808569
179 , 0.0500674690992 , 0.0991416206475
180 , 0.0552868786096 , 0.0978388635945
181 , 0.0510822043504 , 0.094453128733
182 , 0.046893722675 , 0.0968081257637
183 , 0.0542073730232 , 0.0988951992191
184 , 0.0552383008582 , 0.10202734527
185 , 0.0490041560965 , 0.103066274395
186 , 0.0521293247693 , 0.102543738097
187 , 0.0562854212771 , 0.102287077551
188 , 0.0552383008582 , 0.0999361761674
189 , 0.0489555783451 , 0.098118050199
190 , 0.0479408430939 , 0.0999361761674
191 , 0.0510660117666 , 0.096546345659
192 , 0.0499865061802 , 0.0968091496754
193 , 0.0510498191828 , 0.0960258571848
194 , 0.0489879635127 , 0.0965494173942
195 , 0.0427052409996 , 0.0970699058684
196 , 0.0531440600205 , 0.101766589077
197 , 0.0500188913478 , 0.0975955139013
198 , 0.0479084579263 , 0.0944582482918
199 , 0.0510498191828 , 0.094461320027
200 , 0.0479246505101 , 0.0955074165341
201 , 0.0489555783451 , 0.0955115121811
202 , 0.0489393857613 , 0.0939459511116
203 , 0.0468451449236 , 0.0931616347092
204 , 0.0437685540023 , 0.0939479989351
205 , 0.041722890916 , 0.0892441483443
206 , 0.0468775300912 , 0.0902871731162
207 , 0.0458789874238 , 0.0868901752254
208 , 0.0427214335834 , 0.089770780289
209 , 0.0354563609867 , 0.0847969582995
210 , 0.0364872888217 , 0.0879311521738
211 , 0.0406595779133 , 0.0845413216653
212 , 0.0375344092406 , 0.0845413216653
213 , 0.0354563609867 , 0.0803610312839
214 , 0.0406595779133 , 0.0832334450535
215 , 0.0396124574945 , 0.0842774937371
216 , 0.0406271927457 , 0.0834993208052
217 , 0.0385491444918 , 0.0772319569684
218 , 0.0333135423976 , 0.0798466862803
219 , 0.0416581205808 , 0.0772360526154
220 , 0.0364549036541 , 0.0824562960334
221 , 0.0437523614185 , 0.0808907349639
222 , 0.0322826145625 , 0.0806269070356
223 , 0.0374858314892 , 0.0811514911568
224 , 0.0395638797431 , 0.0824552721216
225 , 0.037502024073 , 0.0816750513662
226 , 0.038532951908 , 0.0816750513662
227 , 0.0406110001619 , 0.081936831471
228 , 0.0385167593242 , 0.0808968784344
229 , 0.0353915906515 , 0.0764568557718
230 , 0.0353753980677 , 0.0798507819273
231 , 0.0374696389054 , 0.0790685133484
232 , 0.0332973498138 , 0.0808968784344
233 , 0.0364387110703 , 0.0761971234906
234 , 0.0354239758191 , 0.0746295145976
235 , 0.0333297349814 , 0.0764568557718
236 , 0.0322988071463 , 0.0754066636177
237 , 0.029141253306 , 0.0751459074247
238 , 0.0323149997301 , 0.0733175423388
239 , 0.0270955902197 , 0.0704451285692
240 , 0.0260808549684 , 0.0688775196762
241 , 0.0229233011281 , 0.0688795674997
242 , 0.0281265180547 , 0.068621883042
243 , 0.026032277217 , 0.0681065141266
244 , 0.0270793976359 , 0.0714953207233
245 , 0.0260484698008 , 0.069928735742
246 , 0.026032277217 , 0.0709707366021
247 , 0.0312516867275 , 0.0722786132139
248 , 0.0312516867275 , 0.0743646627576
249 , 0.0364549036541 , 0.0741069782999
250 , 0.0302207588924 , 0.0722724697434
251 , 0.0281103254709 , 0.0756715154577
252 , 0.0302207588924 , 0.0728001255998
253 , 0.0301883737248 , 0.0720199048445
254 , 0.0302369514762 , 0.0707099804092
255 , 0.0312193015599 , 0.0707161238797
256 , 0.0281265180547 , 0.0725424411421
257 , 0.0301883737248 , 0.0730700969986
258 , 0.029141253306 , 0.072021952668
259 , 0.0260160846332 , 0.0675911452112
260 , 0.0249689642144 , 0.0634169983003
261 , 0.0249689642144 , 0.063678778405
262 , 0.0239056512117 , 0.0642002907909
263 , 0.0270632050521 , 0.0660245602299
264 , 0.0229233011281 , 0.0641931234087
265 , 0.0250175419658 , 0.0628831989734
266 , 0.0208452528742 , 0.0647074684123
267 , 0.0239380363793 , 0.0636644436405
268 , 0.0218761807092 , 0.0607971494297
269 , 0.0229233011281 , 0.060274613132
270 , 0.021892373293 , 0.062094786924
271 , 0.0239866141307 , 0.0618350546428
272 , 0.021892373293 , 0.0587008607685
273 , 0.0260484698008 , 0.0605292258545
274 , 0.0197981324553 , 0.0607961255179
275 , 0.0229233011281 , 0.0628801272381
276 , 0.0239704215469 , 0.0631439551663
277 , 0.025001349382 , 0.0654917848147
278 , 0.0239866141307 , 0.0636613719052
279 , 0.0291736384736 , 0.0633995918005
280 , 0.0249851567982 , 0.0597531007461
281 , 0.0281103254709 , 0.0607971494297
282 , 0.0218599881254 , 0.0584523915165
283 , 0.0239542289631 , 0.0574032232742
284 , 0.0208452528742 , 0.0589687843437
285 , 0.0197819398715 , 0.0555738342765
286 , 0.0197981324553 , 0.0558315187342
287 , 0.0177200842014 , 0.0547803026683
288 , 0.0166729637826 , 0.0553079585247
289 , 0.0197981324553 , 0.0524314491082
290 , 0.0197981324553 , 0.0519171041045
291 , 0.0197819398715 , 0.0545246660341
292 , 0.0208290602904 , 0.0534816412623
293 , 0.0218761807092 , 0.0550523218906
294 , 0.0218599881254 , 0.0537505887493
295 , 0.0197981324553 , 0.0537495648375
296 , 0.0208452528742 , 0.0537454691905
297 , 0.0229394937119 , 0.0545277377694
298 , 0.0218761807092 , 0.0547895178741
299 , 0.021892373293 , 0.0581824201178
300 , 0.0197981324553 , 0.0563561028553
301 , 0.0229233011281 , 0.0558325426459
302 , 0.0208290602904 , 0.0573981037154
303 , 0.0239542289631 , 0.0566209546953
304 , 0.0177038916176 , 0.0532260046281
305 , 0.0187186268689 , 0.0542669815764
306 , 0.0187348194527 , 0.0560984183976
307 , 0.0187348194527 , 0.0558386861164
308 , 0.0187510120365 , 0.0537495648375
309 , 0.0218761807092 , 0.0514048069244
310 , 0.0197819398715 , 0.0516655631173
311 , 0.0229071085443 , 0.0501000020478
312 , 0.0208128677066 , 0.0540154405892
313 , 0.0197657472877 , 0.050359734329
314 , 0.0177038916176 , 0.0516594196468
315 , 0.0197819398715 , 0.0487870058773
316 , 0.0177200842014 , 0.0500887390185
317 , 0.0166729637826 , 0.0490436664232
318 , 0.0177038916176 , 0.0506184426985
319 , 0.0156258433637 , 0.0493105660867
320 , 0.0187510120365 , 0.0508791988914
321 , 0.0208452528742 , 0.0487911015243
322 , 0.0177038916176 , 0.0482685652266
323 , 0.0187348194527 , 0.0493146617337
324 , 0.0187672046203 , 0.0490518577172
325 , 0.0187348194527 , 0.0487931493478
326 , 0.0177200842014 , 0.0506235622572
327 , 0.0197981324553 , 0.0516655631173
328 , 0.0176876990338 , 0.0490498098937
329 , 0.0166567711988 , 0.049052881629
330 , 0.0166567711988 , 0.0498331023843
331 , 0.0187348194527 , 0.0490539055407
332 , 0.0177038916176 , 0.0482706130501
333 , 0.0187348194527 , 0.047481177089
334 , 0.0156258433637 , 0.0474822010007
335 , 0.0166567711988 , 0.0469606886148
336 , 0.0166567711988 , 0.0467030041571
337 , 0.0166729637826 , 0.045652812003
338 , 0.0145949155287 , 0.0467009563336
339 , 0.0177200842014 , 0.0461753483006
340 , 0.0156258433637 , 0.0430462739851
341 , 0.0197819398715 , 0.0466937889513
342 , 0.0176876990338 , 0.0464340566701
343 , 0.0197981324553 , 0.0453910318983
344 , 0.0187510120365 , 0.046959664703
345 , 0.0177200842014 , 0.0467030041571
346 , 0.0156258433637 , 0.0464402001406
347 , 0.0156258433637 , 0.0464391762289
348 , 0.0145787229449 , 0.0451353952641
349 , 0.0187348194527 , 0.0440923704922
350 , 0.0156096507799 , 0.0453981992805
351 , 0.0166567711988 , 0.0440872509335
352 , 0.0156258433637 , 0.0412189328109
353 , 0.0187348194527 , 0.0401748841273
354 , 0.0166567711988 , 0.042004273125
355 , 0.0166729637826 , 0.0412220045462
356 , 0.0177038916176 , 0.040962272265
357 , 0.0166729637826 , 0.040440759879
358 , 0.016640578615 , 0.0401810275978
359 , 0.0145625303611 , 0.0388721270743
360 , 0.0145625303611 , 0.0401748841273
361 , 0.0145787229449 , 0.037301446446
362 , 0.0156096507799 , 0.0404397359673
363 , 0.0135477951098 , 0.0399110561991
364 , 0.013531602526 , 0.0396533717414
365 , 0.0145787229449 , 0.0399131040226
366 , 0.013531602526 , 0.0388700792508
367 , 0.013531602526 , 0.0399131040226
368 , 0.013531602526 , 0.0409602244415
369 , 0.0145787229449 , 0.0401800036861
370 , 0.013531602526 , 0.0380908824071
371 , 0.013531602526 , 0.0383495907766
372 , 0.0156096507799 , 0.0375642504625
373 , 0.013531602526 , 0.0388700792508
374 , 0.0156096507799 , 0.0386103469696
375 , 0.0145625303611 , 0.0396543956532
376 , 0.013531602526 , 0.0388711031625
377 , 0.013531602526 , 0.0380888345836
378 , 0.013531602526 , 0.0388721270743
379 , 0.013531602526 , 0.0399151518461
380 , 0.013531602526 , 0.0393926155484
381 , 0.016640578615 , 0.0391328832672
382 , 0.0155934581961 , 0.0380888345836
383 , 0.0145625303611 , 0.0367819818836
384 , 0.0145625303611 , 0.0375642504625
385 , 0.012500674691 , 0.0352153969023
386 , 0.0145787229449 , 0.0370417141648
387 , 0.012500674691 , 0.0362594455859
388 , 0.0145787229449 , 0.0367830057953
389 , 0.012500674691 , 0.0357369092882
390 , 0.013531602526 , 0.0367799340601
391 , 0.012500674691 , 0.0370437619883
392 , 0.0145625303611 , 0.0349546407094
393 , 0.0145625303611 , 0.034174419954
394 , 0.0145625303611 , 0.033913663761
395 , 0.0145625303611 , 0.033913663761
396 , 0.013531602526 , 0.0367850536188
397 , 0.0145787229449 , 0.0362655890564
398 , 0.013531602526 , 0.0357410049353
399 , 0.013531602526 , 0.0349577124446
